7.829973248041488532e-01,8.698020700330602040e-01,8.725947050428075613e-01,9.046340891102673254e-01,9.320846205634403248e-01,9.742330099140111832e-01,9.859865181745414153e-01,1.016859821222827476e+00,1.048622297151767802e+00,1.051252793817862186e+00,1.058724647535197017e+00,1.059217101799898808e+00
6.688394441585515660e-01,6.799989378977209231e-01,7.858520904282404462e-01,8.053449759531954300e-01,8.422616167488214955e-01,8.617442344645827035e-01,9.065619999208345270e-01,9.117775286080815889e-01,9.842451484503689230e-01,1.014406316588532864e+00,1.023221075720983197e+00,1.030492088093472702e+00
9.146158938463990751e-01,9.290215733261515396e-01,9.704050575913107934e-01,1.047046156614225509e+00,1.095118496782795603e+00,1.098294019411675038e+00,1.119990078749840023e+00,1.125929809249809566e+00,1.143562079743086102e+00,1.160101580665177323e+00,1.166883393499972499e+00,1.169419764279973517e+00
7.316067979697606916e-01,8.155165178471661669e-01,8.222900064154159416e-01,9.777907411574062735e-01,9.783591124248358639e-01,9.826550326122638346e-01,1.025485298567071935e+00,1.081755239009950076e+00,1.094172169703471198e+00,1.103855570136214936e+00,1.105621206729598516e+00,1.108578881109448577e+00
5.807961918542829949e-01,6.348635135398446039e-01,7.100071598831245723e-01,7.398622191964108197e-01,7.595796124110822944e-01,7.674241772565475461e-01,7.947098638622860367e-01,8.366189099257361761e-01,8.626364304818463502e-01,8.759633457564719450e-01,8.811915756056888371e-01,8.821571329343551593e-01
6.703810802363265875e-01,6.775326504403508254e-01,7.691837992985477435e-01,7.797820305718645706e-01,8.080976935339556633e-01,8.477844462989878593e-01,9.322124620445810805e-01,9.360193347106730011e-01,9.560766916729943610e-01,9.787223464366601178e-01,9.803684879844962730e-01,9.821966059844253749e-01
6.608530491135162777e-01,7.375796077538649964e-01,7.572542514194775531e-01,7.711464008299236950e-01,9.390975649627056887e-01,9.403851124912966375e-01,9.788064958408372318e-01,9.857776352177002321e-01,1.045690207767228763e+00,1.047597524304939576e+00,1.092532749602858289e+00,1.102478566892838074e+00
7.933256057343314183e-01,8.212552656711635812e-01,8.292088463670155285e-01,8.591703155641894352e-01,8.839876837066276138e-01,9.106616518061543264e-01,9.196380488718471913e-01,9.219780063437124085e-01,9.223534155739625540e-01,9.225455256314920582e-01,9.240998042569854576e-01,9.283455345117499480e-01
7.875483962445848363e-01,8.193593399279119893e-01,8.225940580720463302e-01,1.000710677779927948e+00,1.035426136679081566e+00,1.050590052245285788e+00,1.078195708338927972e+00,1.085109197890339772e+00,1.087307883044562828e+00,1.097860529591954126e+00,1.124886510533614992e+00,1.127330230816310230e+00
6.747430971228944863e-01,7.046774261122412675e-01,7.258109651774756754e-01,7.782529804350890590e-01,8.795624626075773111e-01,9.544848683932789513e-01,9.734823525921356691e-01,1.004572108103982231e+00,1.011104266867024482e+00,1.014217001513670446e+00,1.026700064653617961e+00,1.043134161043588026e+00
