sample,x0: fuel to oxidizer ratio,x1: acac amount,x2: total concentration,x3: temperature,conductance - mean,conductance - std,XRF-normalized conductance - mean,XRF-normalized conductance - std,Conductivity - mean
48,0.726934446,0.783271165,0.006128187,241.8639221,0.076868282,0.101308326,7.38E-07,1.11E-07,101.9883231
49,0.696646055,0.51291965,0.007047115,223.2632751,0.005882322,0.024865257,1.94E-07,1.33E-07,26.78832353
50,1.668400283,0.021340047,0.00621986,242.4292603,0.015667,0.054067149,7.82E-08,1.46E-08,10.81543562
51,0.745348471,0.33775591,0.007389645,274.7438354,0.101279668,0.098805857,4.38E-07,1.78E-07,60.52668486
52,1.911489058,0.770927692,0.005982236,229.5456696,0.032463321,0.043967561,2.47E-07,1.15E-07,34.16458217
53,1.202726342,0.986716802,0.007115808,262.6394348,0.019567201,0.040005913,3.40E-07,7.12E-08,47.0264569
54,1.843081477,0.923291748,0.007409058,258.6472778,0.031803842,0.096116434,1.83E-07,1.15E-07,25.27673489
55,1.051505486,0.671105604,0.011458391,211.9935608,0.407166738,3.488154513,3.19E-08,2.40E-08,4.407325208
56,0.538411202,0.677168614,0.011095312,260,0.154101147,1.231970843,4.39E-08,3.27E-08,6.065083657
57,1.985096681,1,0.01142613,200,0.004641998,0.020039175,3.48E-08,2.35E-08,4.811581058
58,0.576159106,0,0.005859343,220,0.052794859,0.069562613,4.15E-07,1.90E-07,57.3655855
59,1.092656165,0.170915836,0.011378998,260,0.077926775,0.08259825,3.18E-07,7.65E-08,43.98719954
60,1.180158722,0.812098814,0.005824728,220,0.054125599,0.066236267,5.10E-07,1.09E-07,70.54261044
61,1.923489265,1,0.011511324,260,0.006448591,0.03026249,1.71E-07,2.04E-07,23.70752134
62,1.210713966,0.561893312,0.005968896,207.7463226,0.000877791,0.002307343,2.16E-08,9.39E-09,2.984715803
63,1.330984395,0.855273819,0.006707145,203.6397858,0.025287549,0.034800161,2.47E-07,5.60E-08,34.20096045
64,0.604457396,0.919615787,0.006541818,198.9178619,0.021866968,0.0311256,1.40E-07,8.34E-08,19.34678193
65,0.983820397,0.984238811,0.008034581,203.853653,0.045354716,0.259914141,4.06E-08,4.74E-08,5.606388724
66,0.973377578,0.778417846,0.006038253,224.3921509,0.080741803,0.077739606,5.05E-07,1.11E-07,69.78248637
67,1.843790585,0.768881317,0.006132207,223.8196411,0.034764258,0.04730208,2.77E-07,1.35E-07,38.35170831
68,1.071260596,0.748434041,0.006316577,212.4146729,0.064096278,0.058909339,5.10E-07,1.18E-07,70.47718827
69,0.455804466,0.835928609,0.006767348,200.5863647,0.00639158,0.011590714,3.11E-08,2.01E-08,4.304181895
70,2.04520287,0.342605835,0.007934997,264.3380737,0.028167124,0.025800017,1.98E-07,4.11E-08,27.3595053
71,1.460910551,0.972493822,0.010043832,229.180954,0.055743336,0.077906101,3.54E-07,1.11E-07,48.87854782
72,1.29249121,0.519057505,0.007297993,260.7192688,0.078358608,0.063585487,5.76E-07,1.25E-07,79.57842031
73,1.139271796,0.556531489,0.009066032,249.665863,0.067121412,0.071884832,3.71E-07,1.48E-07,51.34548177
74,0.282282261,0.370284965,0.010111713,276.829895,0.069673186,0.369223809,1.19E-08,1.32E-08,1.643640259
75,0.538545262,0.709383958,0.008811005,223.4225159,0.090875482,0.699328872,6.88E-08,6.53E-08,9.507082689
76,1.104224541,0.587850964,0.007110481,202.9525757,0.001285073,0.003896677,2.47E-08,1.95E-08,3.408905927
77,1.45191238,0.665257088,0.007288997,239.5097809,0.061937599,0.061906095,5.29E-07,1.09E-07,73.16534222
78,1.627293174,0.413586381,0.008058399,253.504425,0.05632972,0.059565533,3.77E-07,1.13E-07,52.06448319
79,0.688609072,0.756030012,0.006270337,257.787323,0.081588921,0.107609036,6.71E-07,4.17E-07,92.70815371
80,0.117827038,0.312575142,0.007519885,209.071228,0.003094972,0.011499577,1.70E-08,1.34E-08,2.346932831
81,1.254562148,0.03495191,0.00972555,277.3482361,0.176715023,0.138440914,7.57E-07,1.73E-07,104.5889719
82,1.795543951,0.317677615,0.007094102,272.1824951,0.098028639,0.107510643,6.41E-07,1.59E-07,88.58144903
83,0.957393919,0.99954389,0.009925548,251.5506592,0.047080882,0.192675577,2.81E-07,1.28E-07,38.89802641
84,1.804398074,0.611785162,0.007963647,247.5609131,0.031096959,0.042121002,3.36E-07,8.14E-08,46.46244395
85,1.797286623,0.759692902,0.007699709,247.8398438,0.023232749,0.035613479,1.97E-07,1.29E-07,27.28422763
86,0.095202114,0.342819281,0.008343556,217.522644,0.021255434,0.104276066,6.78E-08,5.38E-08,9.369331278
87,0.233473599,0.971261965,0.008876919,206.4594727,0.071351803,0.641651622,3.89E-08,3.48E-08,5.378016417
88,0.462387249,0.740387622,0.009005377,264.8264771,0.00349264,0.014169111,1.54E-07,1.59E-07,21.27435885
89,1.478863773,0.195775661,0.007317569,247.284729,0.069621976,0.045662466,4.22E-07,1.00E-07,58.33648123
90,0.577927601,0.796815709,0.010314275,226.439209,0.017514237,0.045939523,1.86E-07,2.01E-07,25.7275978
91,0.621758246,0.508784204,0.008555248,213.7967072,0.114808528,0.881599392,1.05E-07,7.80E-08,14.47603758
92,0.630661481,0.763978908,0.007070837,257.6376648,0.084549863,0.126206695,5.98E-07,2.05E-07,82.70770622
93,0.219333914,0.920179132,0.008531767,205.5087433,0.000995762,0.003334728,2.14E-08,1.60E-08,2.961550866
94,1.405273192,0.798186622,0.008820107,203.107254,0.027475935,0.059209533,7.43E-08,5.76E-08,10.26932218
95,2.000680401,0.262406,0.006510056,252.5382843,0.01339001,0.014755406,1.13E-07,3.61E-08,15.57243788
96,1.963987646,0.870502808,0.011518251,247.1460724,0.074969817,0.14181027,1.55E-07,1.24E-07,21.42208357
97,0.95756474,0.699724244,0.008988997,247.554306,0.18605495,0.444318955,3.20E-07,2.09E-07,44.24845906
98,0.443022593,0.418029361,0.009929838,200.8892517,0.000140137,0.000811979,5.73E-09,7.34E-09,0.791571462
99,0.178578487,0.166285875,0.008211365,241.5705872,0.05467986,0.127551475,1.90E-07,1.49E-07,26.21436126
100,0.920629054,0.796492363,0.010375001,260.9374695,0.011555261,0.036725947,2.59E-07,1.93E-07,35.77806727
101,1.095951536,0.988875898,0.007122318,270.8951416,0.116306186,0.166284689,6.08E-07,1.32E-07,84.07299349
102,1.372081857,0.274926983,0.008876035,275.423645,0.11293718,0.09524807,6.82E-07,2.07E-07,94.29797879
103,1.362020979,0.98983144,0.006778751,196.6695709,0.042059978,0.049023895,3.18E-07,8.34E-08,43.96630847
104,0.283557973,0.74823033,0.008858833,241.331543,0.038036827,0.142449307,1.65E-07,1.03E-07,22.81958595
105,0.951914438,0.589197067,0.009621477,276.3566895,0.198517159,0.151144021,9.16E-07,2.06E-07,126.6256049
106,0.710230423,0.864068486,0.007093665,234.6121216,0.169767312,0.84039951,5.25E-07,1.80E-07,72.52837032
107,2.31849316,0.527537948,0.005856725,220,0.026648293,0.031685942,2.23E-07,7.32E-08,30.8354695
108,2.063971413,1,0.011926396,200,0.001023051,0.005033067,4.49E-08,5.06E-08,6.206089317
109,0.652560148,0,0.005818825,220,0.059265772,0.071837307,5.68E-07,1.16E-07,78.45181339
110,1.0525383,0.128654588,0.011864457,260,0.030996261,0.033898731,1.33E-07,3.20E-08,18.39031048
111,1.013248502,0.9015548,0.006041262,220,0.054081373,0.068182953,5.28E-07,1.02E-07,72.97851346
112,2.042312317,1,0.011899465,260,0.018275753,0.110921863,4.28E-08,2.80E-08,5.913114235
113,0.649312484,0.75445412,0.011047408,234.2891846,0.027214642,0.218659772,9.54E-09,1.11E-08,1.319094113
114,0.4760352,0.003161327,0.006008728,263.4475708,0.07174569,0.085282306,6.27E-07,1.28E-07,86.6834825
115,0.183516311,0.979414552,0.007135126,226.2304993,0.011305959,0.048092628,3.11E-08,2.88E-08,4.294120389
116,1.700225168,0.436471985,0.01015161,261.6607056,0.071074182,0.063432769,3.45E-07,5.58E-08,47.65279001
117,0.408317358,0.885927904,0.009972426,258.5929565,0.012485253,0.072427965,7.29E-08,4.31E-08,10.0755935
118,0.31928941,0.854655364,0.00650604,200.2307892,0.040800994,0.06731979,3.22E-07,7.77E-08,44.53225146
119,1.555961849,0.784468467,0.006628745,191.3796692,0.028355853,0.077127598,1.22E-07,6.75E-08,16.85217056
120,1.225169042,0.838825169,0.006027813,187.7301025,0.009736678,0.015781356,8.98E-08,5.65E-08,12.41387692
121,0.616153988,0.685455629,0.008193315,235.8400269,0.026982739,0.157386661,1.37E-07,1.42E-07,18.92980907
122,1.913878214,0.834900977,0.01023602,206.076004,0.045407873,0.344098191,4.43E-08,3.57E-08,6.125297959
123,0.787113557,0.784390361,0.005931705,278.2362061,0.088372329,0.083256319,6.46E-07,1.89E-07,89.3335391
124,1.82805523,0.364656782,0.008200178,243.9875336,0.057057842,0.051110067,3.50E-07,7.74E-08,48.443647
125,0.4749318,0.392661897,0.010833306,265.2755127,0.028408211,0.152498152,1.79E-08,1.31E-08,2.477493965
126,1.593186668,0.622594356,0.006446742,242.4893341,0.035296889,0.039484606,2.79E-07,5.66E-08,38.60120227
127,1.598992771,0.423159478,0.00947914,256.0285034,0.062375605,0.063677258,3.63E-07,7.24E-08,50.20767672
128,1.041687961,0.651463234,0.009139424,193.8902283,0.002052216,0.008135859,2.22E-08,1.73E-08,3.069183647
129,1.067451701,0.640855304,0.011161254,253.3841553,0.182770896,0.963972428,1.26E-07,1.06E-07,17.42237944
