Cond,Qtsc,Qag,Qpva,Qseed,Qaa,y1,y2,y3,c1,c2
1,20.72336275,12.95391864,22.05706897,18.57109145,9.179962248,0.601599542460675,0.0132354095979081,0.226204522916667,-1.11110805143259,-0.8447353549618
2,11.44192713,9.235287488,7.446133498,21.40783986,18.94737054,0.434961171020733,0.0173464948929509,0.1080066725,-0.187417896245988,-0.805465914547158
3,2.754680582,11.04872842,18.56601172,3.43223904,3.910926943,0.367402836835228,0.00561922907818401,0.85699004,-2.52509200019081,-1.13573761564345
4,1.449833366,4.047471056,12.57508729,23.34771904,10.78706377,0.633723196162265,0.0114734885481342,0.0271783733333333,-0.075215271022728,-4.14368617963841
5,7.768571312,7.631449023,10.76270653,11.34027161,14.84694376,0.342265727300205,0.012207098321439,0.527488682916667,-0.214008077780986,-9.16708042808523e-10
6,16.99538241,19.445591,1.90936738,1.418012377,4.700088053,0.39575723793497,0.00613981740352135,0.940916150958333,-3.837282276571,-2.21020432748732
7,5.439207643,22.89961758,16.76797711,11.88549239,12.93137809,0.236755864022127,0.0167254848322852,0.504771150416667,-1.47085670379622,-0.289882506234965
8,13.62565712,4.500500225,9.907496443,5.438719195,1.675058339,0,0.00584932404584837,0.773386700208333,-2.38677222769851,-1.89524215839383
9,9.257937975,17.78250869,5.512044604,15.91650102,7.128326792,0.645250489953574,0.0101539708583016,0.3368124575,-2.19462590715636,-1.38969090037358
10,23.72922747,14.79091126,3.536245619,19.26514242,21.20556746,0.367332838542861,0.0210158901158096,0.1972857325,-0.397501318363682,-2.46788589564062e-10
11,15.88812541,20.66203048,20.21399877,22.34009254,22.48842255,0.287273285640093,0.0363273568976541,0.0691628108333333,-0.618785229780379,-1.11121334356312e-10
12,19.59493394,1.448054672,15.55173652,13.33751587,4.82684891,0,0.00371991103900961,0.444270172083333,2.07174444266656e-10,-7.51064385730596
13,8.21099441458538,20.5977504400907,10.7768484237803,2.61418141250493,4.75677742483612,1,0.00580492906227091,0.891075774478961,-4.03019008468749,-2.45710595446213
14,18.6298246698328,22.9228112951401,1.90936738,5.5478302190989,13.039306789629,0.333292744770467,0.0146134380611679,0.768840407537546,-1.45797775640743,2.77555756156289e-17
