1.05E+02,1.05E+02,1.08E+02,1.09E+02,1.11E+02,1.11E+02,1.12E+02,1.13E+02,1.13E+02,1.13E+02,1.14E+02,1.14E+02,1.14E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.19E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02
9.02E+01,9.07E+01,9.95E+01,1.00E+02,1.01E+02,1.02E+02,1.03E+02,1.06E+02,1.07E+02,1.08E+02,1.09E+02,1.10E+02,1.10E+02,1.11E+02,1.12E+02,1.13E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02,1.18E+02
8.81E+01,9.01E+01,9.05E+01,9.17E+01,9.52E+01,9.73E+01,9.84E+01,9.92E+01,9.96E+01,1.00E+02,1.01E+02,1.01E+02,1.02E+02,1.02E+02,1.03E+02,1.05E+02,1.05E+02,1.05E+02,1.06E+02,1.06E+02,1.07E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.10E+02,1.10E+02,1.10E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.14E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.16E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02,1.17E+02
8.23E+01,8.47E+01,8.91E+01,9.23E+01,9.28E+01,9.67E+01,9.71E+01,9.72E+01,9.85E+01,9.94E+01,1.01E+02,1.01E+02,1.02E+02,1.03E+02,1.04E+02,1.05E+02,1.05E+02,1.05E+02,1.06E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.14E+02,1.14E+02
8.69E+01,8.86E+01,8.87E+01,9.28E+01,9.50E+01,9.70E+01,9.74E+01,9.80E+01,9.86E+01,9.88E+01,9.90E+01,9.92E+01,9.96E+01,1.00E+02,1.01E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.03E+02,1.03E+02,1.04E+02,1.04E+02,1.04E+02,1.05E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02
7.66E+01,7.69E+01,7.79E+01,8.08E+01,8.49E+01,8.60E+01,8.77E+01,8.98E+01,9.04E+01,9.21E+01,9.24E+01,9.36E+01,9.36E+01,9.40E+01,9.49E+01,9.58E+01,9.59E+01,9.68E+01,9.78E+01,9.84E+01,9.88E+01,9.88E+01,9.90E+01,9.93E+01,9.94E+01,9.98E+01,1.00E+02,1.00E+02,1.01E+02,1.01E+02,1.01E+02,1.01E+02,1.02E+02,1.02E+02,1.02E+02,1.03E+02,1.03E+02,1.04E+02,1.04E+02,1.04E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02
7.94E+01,8.03E+01,8.40E+01,8.49E+01,8.69E+01,8.77E+01,8.85E+01,8.95E+01,9.10E+01,9.20E+01,9.29E+01,9.35E+01,9.38E+01,9.45E+01,9.48E+01,9.51E+01,9.54E+01,9.65E+01,9.66E+01,9.70E+01,9.76E+01,9.78E+01,9.86E+01,9.87E+01,9.93E+01,9.95E+01,9.98E+01,1.01E+02,1.01E+02,1.01E+02,1.02E+02,1.02E+02,1.02E+02,1.03E+02,1.03E+02,1.03E+02,1.03E+02,1.04E+02,1.04E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02
7.74E+01,7.84E+01,8.01E+01,8.25E+01,8.47E+01,8.66E+01,8.93E+01,8.98E+01,9.00E+01,9.04E+01,9.08E+01,9.15E+01,9.30E+01,9.33E+01,9.40E+01,9.43E+01,9.51E+01,9.53E+01,9.59E+01,9.63E+01,9.67E+01,9.72E+01,9.74E+01,9.78E+01,9.81E+01,9.86E+01,9.91E+01,9.92E+01,9.94E+01,9.99E+01,1.00E+02,1.01E+02,1.01E+02,1.01E+02,1.01E+02,1.02E+02,1.02E+02,1.02E+02,1.03E+02,1.03E+02,1.03E+02,1.03E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.11E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.12E+02,1.13E+02,1.13E+02
7.79E+01,7.88E+01,8.16E+01,8.28E+01,8.39E+01,8.55E+01,8.61E+01,8.69E+01,8.74E+01,8.81E+01,8.88E+01,8.93E+01,9.01E+01,9.10E+01,9.20E+01,9.29E+01,9.30E+01,9.33E+01,9.35E+01,9.36E+01,9.38E+01,9.44E+01,9.47E+01,9.48E+01,9.56E+01,9.59E+01,9.59E+01,9.61E+01,9.64E+01,9.69E+01,9.69E+01,9.70E+01,9.72E+01,9.73E+01,9.78E+01,9.82E+01,9.85E+01,9.89E+01,9.96E+01,9.98E+01,1.00E+02,1.00E+02,1.01E+02,1.01E+02,1.01E+02,1.01E+02,1.02E+02,1.02E+02,1.03E+02,1.03E+02,1.03E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02
7.58E+01,7.71E+01,7.92E+01,8.15E+01,8.36E+01,8.51E+01,8.74E+01,8.81E+01,8.85E+01,8.86E+01,8.97E+01,9.02E+01,9.04E+01,9.07E+01,9.11E+01,9.14E+01,9.16E+01,9.21E+01,9.23E+01,9.23E+01,9.24E+01,9.27E+01,9.33E+01,9.38E+01,9.41E+01,9.43E+01,9.46E+01,9.52E+01,9.54E+01,9.57E+01,9.60E+01,9.62E+01,9.65E+01,9.69E+01,9.76E+01,9.77E+01,9.79E+01,9.82E+01,9.85E+01,9.88E+01,9.90E+01,9.96E+01,9.97E+01,9.99E+01,1.00E+02,1.00E+02,1.01E+02,1.01E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.03E+02,1.03E+02,1.03E+02,1.03E+02,1.03E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.04E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.05E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.07E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.08E+02,1.09E+02,1.09E+02,1.09E+02,1.09E+02
